Metadata_EOS,Metadata_pdid,Metadata_name,Metadata_smiles,Metadata_inchi,Metadata_inchikey,probe,experimental probe,calculated probe,available,approved drug,P&D approved,covalent binder,biased GPCR ligand,inorganic,structural alert,PAINS Family A,PAINS Family B,PAINS Family C,Aggregator,Obsolete,Nuisance,no. targets,drug_status,Metadata_cas,Metadata_synonyms,mw,hba,hbd,rb,rc,arc,logp,tpsa,fcsp3,ncc,lrs,qed,moa_activator,moa_agonist,moa_allosteric antagonist,moa_allosteric modulator,moa_antagonist,moa_binding agent,moa_blocker,moa_cofactor,moa_competitive inhibitor,moa_degrader,moa_disrupting agent,moa_inducer,moa_inhibitor,moa_inverse agonist,moa_mixed,moa_modulator,moa_negative allosteric modulator,moa_negative modulator,moa_neutral,moa_opener,moa_other,moa_partial agonist,moa_positive allosteric modulator,moa_positive modulator,moa_potentiator,moa_stabiliser,moa_stimulator,moa_substrate,drug_status_approved,drug_status_experimental,drug_status_investigational,drug_status_nutraceutical,drug_status_vet_approved,drug_status_withdrawn
EOS101496,PD000024,BI-9564,COc1cc(-c2cn(C)c(=O)c3cnccc23)c(OC)cc1CN(C)C,"InChI=1S/C20H23N3O3/c1-22(2)11-13-8-19(26-5)15(9-18(13)25-4)17-12-23(3)20(24)16-10-21-7-6-14(16)17/h6-10,12H,11H2,1-5H3",BJFSUDWKXGMUKA-UHFFFAOYSA-N,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,9,,1883429-22-8,BI9564;BI-9564;BI 9564,353.17,6.0,0.0,5.0,3.0,3.0,2.68,56.59,0.3,0.0,6.0,0.71,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EOS101686,PD000026,MS023,CC(C)Oc1ccc(-c2c[nH]cc2CN(C)CCN)cc1,"InChI=1S/C17H25N3O/c1-13(2)21-16-6-4-14(5-7-16)17-11-19-10-15(17)12-20(3)9-8-18/h4-7,10-11,13,19H,8-9,12,18H2,1-3H3",FMTVWAGUJRUAKE-UHFFFAOYSA-N,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,,1831110-54-3,MS023;GTPL8955,287.2,3.0,2.0,7.0,2.0,2.0,2.86,54.28,0.41,0.0,6.0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EOS101677,PD000028,NI-57,COc1cc(C#N)ccc1S(=O)(=O)Nc1ccc2c(c1)cc(C)c(=O)n2C,"InChI=1S/C19H17N3O4S/c1-12-8-14-10-15(5-6-16(14)22(2)19(12)23)21-27(24,25)18-7-4-13(11-20)9-17(18)26-3/h4-10,21H,1-3H3",UEMQPCYDWCSVCU-UHFFFAOYSA-N,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,,1883548-89-7,NI 57;NI-57;GTPL8573,383.09,6.0,1.0,4.0,3.0,3.0,2.53,101.19,0.16,0.0,6.0,0.75,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EOS101503,PD000030,SGC707,O=C(NCC(=O)N1CCCC1)Nc1ccc2cnccc2c1,"InChI=1S/C16H18N4O2/c21-15(20-7-1-2-8-20)11-18-16(22)19-14-4-3-13-10-17-6-5-12(13)9-14/h3-6,9-10H,1-2,7-8,11H2,(H2,18,19,22)",DMIDPTCQPIJYFE-UHFFFAOYSA-N,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,1687736-54-4,SGC-707;GTPL8552;AOB5757;SGC 707;SGC707,298.14,3.0,2.0,3.0,3.0,2.0,1.98,74.33,0.31,0.0,6.0,0.91,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EOS101810,PD000031,(+)-JQ1,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)OC(C)(C)C)c1nnc(C)n1-2,"InChI=1S/C23H25ClN4O2S/c1-12-13(2)31-22-19(12)20(15-7-9-16(24)10-8-15)25-17(11-18(29)30-23(4,5)6)21-27-26-14(3)28(21)22/h7-10,17H,11H2,1-6H3/t17-/m0/s1",DNVXATUJJDPFDM-KRWDZBQOSA-N,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,investigational,1268524-70-4,(+)-JQ1;(+)-JQ-1;JQ-1;JQ1;1268524-70-4;(S)-JQ1,456.14,7.0,0.0,3.0,4.0,3.0,5.53,69.37,0.39,1.0,7.0,0.49,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
EOS101504,PD000032,GSK343,CCCc1cc(C)[nH]c(=O)c1CNC(=O)c1cc(-c2ccnc(N3CCN(C)CC3)c2)cc2c1cnn2C(C)C,"InChI=1S/C31H39N7O2/c1-6-7-23-14-21(4)35-31(40)26(23)18-33-30(39)25-15-24(16-28-27(25)19-34-38(28)20(2)3)22-8-9-32-29(17-22)37-12-10-36(5)11-13-37/h8-9,14-17,19-20H,6-7,10-13,18H2,1-5H3,(H,33,39)(H,35,40)",ULNXAWLQFZMIHX-UHFFFAOYSA-N,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,7,,1346704-33-3,GSK 343;GSK-343;GSK343,541.32,7.0,2.0,8.0,5.0,4.0,4.31,99.15,0.42,0.0,6.0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EOS101666,PD000033,A-366,COc1cc2c(cc1OCCCN1CCCC1)N=C(N)C21CCC1,"InChI=1S/C19H27N3O2/c1-23-16-12-14-15(21-18(20)19(14)6-4-7-19)13-17(16)24-11-5-10-22-8-2-3-9-22/h12-13H,2-11H2,1H3,(H2,20,21)",BKCDJTRMYWSXMC-UHFFFAOYSA-N,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3,,1527503-11-2,A-366;A 366;GTPL8238;A366,329.21,5.0,1.0,6.0,4.0,1.0,2.98,60.08,0.63,0.0,6.0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EOS101498,PD000034,A-196,Clc1cc2c(NC3CCCC3)nnc(-c3ccncc3)c2cc1Cl,"InChI=1S/C18H16Cl2N4/c19-15-9-13-14(10-16(15)20)18(22-12-3-1-2-4-12)24-23-17(13)11-5-7-21-8-6-11/h5-10,12H,1-4H2,(H,22,24)",ABGOSOMRWSYAOB-UHFFFAOYSA-N,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,,1982372-88-2,A 196;A-196;A196,358.08,4.0,1.0,3.0,4.0,3.0,5.35,50.7,0.28,0.0,6.0,0.68,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EOS101497,PD000035,MS049,CNCCN1CCC(OCc2ccccc2)CC1,"InChI=1S/C15H24N2O/c1-16-9-12-17-10-7-15(8-11-17)18-13-14-5-3-2-4-6-14/h2-6,15-16H,7-13H2,1H3",HBOJWAYLSJLULG-UHFFFAOYSA-N,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,,1502816-23-0,MS049;MS049 hydrochloride,248.19,3.0,1.0,6.0,2.0,1.0,1.89,24.5,0.6,0.0,6.0,0.83,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EOS101501,PD000036,GSK2801,CCCOc1ccn2c(C(C)=O)cc(-c3ccccc3S(C)(=O)=O)c2c1,"InChI=1S/C20H21NO4S/c1-4-11-25-15-9-10-21-18(14(2)22)13-17(19(21)12-15)16-7-5-6-8-20(16)26(3,23)24/h5-10,12-13H,4,11H2,1-3H3",KHWCPNJRJCNVRI-UHFFFAOYSA-N,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,,1619994-68-1,GSK2801;GSK 2801;KB-146016,371.12,5.0,0.0,6.0,3.0,3.0,4.0,64.85,0.25,0.0,6.0,0.61,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EOS101490,PD000037,LLY-507,Cc1cn(CCN2CCN(c3ccccc3-c3cc(C#N)cc(C(=O)NCCCN4CCCC4)c3)CC2)c2ccccc12,"InChI=1S/C36H42N6O/c1-28-27-42(34-11-4-2-9-32(28)34)22-19-40-17-20-41(21-18-40)35-12-5-3-10-33(35)30-23-29(26-37)24-31(25-30)36(43)38-13-8-16-39-14-6-7-15-39/h2-5,9-12,23-25,27H,6-8,13-22H2,1H3,(H,38,43)",PNYRDVBFYVDJJI-UHFFFAOYSA-N,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,1793053-37-8,ZINC231558920;HY-19313;GTPL8239;CS-5126;LLY-507;LLY 507;LLY507,574.34,6.0,1.0,10.0,6.0,4.0,5.53,67.54,0.39,0.0,6.0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EOS101489,PD000038,GSK591,O=C(NC[C@H](O)CN1CCc2ccccc2C1)c1ccnc(NC2CCC2)c1,"InChI=1S/C22H28N4O2/c27-20(15-26-11-9-16-4-1-2-5-18(16)14-26)13-24-22(28)17-8-10-23-21(12-17)25-19-6-3-7-19/h1-2,4-5,8,10,12,19-20,27H,3,6-7,9,11,13-15H2,(H,23,25)(H,24,28)/t20-/m0/s1",TWKYXZSXXXKKJU-FQEVSTJZSA-N,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,,1616391-87-7,"GSK3203591;EPZ015866;GSK591;GTPL8954;EPZ015866, GSK3203591",380.22,5.0,3.0,7.0,4.0,2.0,2.19,77.49,0.45,1.0,6.0,0.69,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EOS101612,PD000047,PODOFILOX,COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC,"InChI=1S/C22H22O8/c1-25-16-4-10(5-17(26-2)21(16)27-3)18-11-6-14-15(30-9-29-14)7-12(11)20(23)13-8-28-22(24)19(13)18/h4-7,13,18-20,23H,8-9H2,1-3H3/t13-,18+,19-,20-/m0/s1",YJGVMLPVUAXIQN-XVVDYKMHSA-N,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,21,approved,11016-28-7;518-28-5,(+)-Shikonin;Podophyllotoxin;PPT;Podofilox(+)-Shikonin;Condylox;PODOFILOX;Condyline,414.13,8.0,1.0,4.0,5.0,2.0,2.41,92.68,0.41,4.0,6.0,0.76,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
EOS101940,PD000049,METYROSINE,C[C@](N)(Cc1ccc(O)cc1)C(=O)O,"InChI=1S/C10H13NO3/c1-10(11,9(13)14)6-7-2-4-8(12)5-3-7/h2-5,12H,6,11H2,1H3,(H,13,14)/t10-/m0/s1",NHTGHBARYWONDQ-JTQLQIEISA-N,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,3,approved,672-87-7,L-alpha-Methyl-p-tyrosine;METYROSINE;??-Methyltyrosine;metirosine;alpha-METHYL-L-TYROSINE;alpha-methyltyrosine,195.09,3.0,3.0,3.0,1.0,1.0,0.74,83.55,0.3,1.0,6.0,0.66,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
EOS102300,PD000054,PINACIDIL,CC(N/C(=N/C#N)Nc1ccncc1)C(C)(C)C,"InChI=1S/C13H19N5/c1-10(13(2,3)4)17-12(16-9-14)18-11-5-7-15-8-6-11/h5-8,10H,1-4H3,(H2,15,16,17,18)",IVVNZDGDKPTYHK-UHFFFAOYSA-N,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,12,approved;withdrawn,85371-64-8;60560-33-0;113563-69-2,PINACIDIL;Pinacidil monohydrate;P-1134;PINACIDIL ANHYDROUS,245.16,3.0,2.0,2.0,1.0,1.0,2.35,73.1,0.46,1.0,6.0,0.48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
EOS101572,PD000061,GLYBURIDE,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,"InChI=1S/C23H28ClN3O5S/c1-32-21-12-9-17(24)15-20(21)22(28)25-14-13-16-7-10-19(11-8-16)33(30,31)27-23(29)26-18-5-3-2-4-6-18/h7-12,15,18H,2-6,13-14H2,1H3,(H,25,28)(H2,26,27,29)",ZNNLBTZKUZBEKO-UHFFFAOYSA-N,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,44,approved,10238-21-8,GLYBURIDE;Glyburide10238-21-8;Lederglib;Glynase;HB 419;Diabetamide 2.5;HB-419;Glyburide (micronized);Micronase;Diabeta;Diabetamide 5;glibenclamide;Glyburide (Glibenclamide);Glybenclamide;Euglucon;Calabren;Libanil;Gliken;Semi-daonil;U-26452;Glynase Prestab;Malix;Daonil,493.14,5.0,3.0,8.0,3.0,2.0,3.64,113.6,0.39,0.0,6.0,0.52,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
EOS101657,PD000067,DIAZOXIDE,CC1=Nc2ccc(Cl)cc2S(=O)(=O)N1,"InChI=1S/C8H7ClN2O2S/c1-5-10-7-3-2-6(9)4-8(7)14(12,13)11-5/h2-4H,1H3,(H,10,11)",GDLBFKVLRPITMI-UHFFFAOYSA-N,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,12,approved,1098065-76-9;364-98-7,"Diazoxidum;Sch-6783;DIAZOXIDE;SRG-95213;Proglycem;Sch-6783, SRG-95213, Proglycem",229.99,3.0,1.0,0.0,2.0,1.0,1.68,58.53,0.12,0.0,6.0,0.74,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
EOS102375,PD000106,CARAZOLOL,CC(C)NCC(O)COc1cccc2[nH]c3ccccc3c12,"InChI=1S/C18H22N2O2/c1-12(2)19-10-13(21)11-22-17-9-5-8-16-18(17)14-6-3-4-7-15(14)20-16/h3-9,12-13,19-21H,10-11H2,1-2H3",BQXQGZPYHWWCEB-UHFFFAOYSA-N,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,approved;investigational,57775-29-8,CARAZOLOL;(±)-Carazolol;DL-Carazolol;Suacron;Conducton,298.17,3.0,3.0,6.0,3.0,3.0,3.06,57.28,0.33,1.0,6.0,0.66,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
